H2S
0.006
0.0065
0.007
0.00675
0.007
0.007
0.007
0.007
0.0075
0.00725
0.008
0.00775
0.0065
0.00725
0.00575
0.005
0.0045
0.004
0.00425
0.0045
0.00425
0.004
0.004
0.004
0.0055
0.007
0.0055
0.00625
0.004
0.00475
0.00475
0.0055
0.005
0.0045
0.00475
0.005
0.00475
0.0045
0.004
0.00425
0.0035
0.00375
0.003
0.00325
0.0035
0.00325
0.00375
0.004
0.00425
0.0045
0.00475
0.005
0.005
0.005
0.005
0.005
0.007
0.006
0.008
0.009
