TSS
8.94875
9.829
10.51
10.1695
10.78475
11.0595
11.33425
11.609
12.2195
11.91425
12.83
12.52475
10.1315
11.48075
8.78225
7.433
6.325
5.217
5.771
6.325
5.223
4.121
4.395
4.669
7.605
10.541
7.331
8.936
5.868
6.5995
7.03625
8.2045
7.2885
6.3725
6.62475
6.877
6.654
6.431
5.985
6.208
4.35
5.1675
2.715
3.5325
3.7595
3.23725
4.28175
4.804
5.281
5.758
6.235
6.712
7.162
7.612
7.387
7.162
10.686
8.924
12.223
13.76
