NH3
0.16425
0.08
0.052
0.066
0.064
0.076
0.088
0.1
0.0625
0.08125
0.025
0.04375
0.015
0.02
0.01
0.005
0.03
0.055
0.0425
0.03
0.03
0.03
0.03625
0.0425
0.05425
0.066
0.048
0.057
0.118
0.083
0.105
0.092
0.09675
0.1015
0.09325
0.085
0.07375
0.0625
0.04
0.05125
0.0725
0.05625
0.105
0.08875
0.0605
0.08275
0.03825
0.016
0.02525
0.0345
0.04375
0.053
0.163
0.273
0.218
0.163
0.222
0.1925
0.1965
0.171
