COD
7.2
7.95
8.6
8.275
8.875
9.15
9.425
9.7
10.3
10
10.9
10.6
8.4
9.65
7.15
5.9
5.1
4.3
4.7
5.1
4.35
3.6
3.775
3.95
6.275
8.6
6.1
7.35
4.7
5.4
5.675
6.65
5.875
5.1
5.3
5.5
5.325
5.15
4.8
4.975
3.8
4.3
2.8
3.3
3.4
3.1
3.7
4
4.35
4.7
5.05
5.4
5.75
6.1
5.925
5.75
9
7.375
10.45
11.9
