Salt
34.625
35.05
35.3
35.175
35.35
35.4
35.45
35.5
35.65
35.575
35.8
35.725
34.85
35.325
34.375
33.9
32.95
32
32.475
32.95
31.825
30.7
31.025
31.35
33.325
35.3
33
34.15
32.6
32.8
33.275
33.95
33.5
33.05
33.275
33.5
33.325
33.15
32.8
32.975
30.6
31.7
28.4
29.5
29.95
29.175
30.725
31.5
31.975
32.45
32.925
33.4
33.7
34
33.85
33.7
34.95
34.325
35.425
35.9
